"prior_set","rep","param","bias","covered"
"current",18,"gamma0",-0.259689975524999,1
"current",18,"gamma1",-0.335669504095022,1
"current",18,"gamma2",0.873508749972188,1
"current",18,"alpha",-0.0682491389937501,1
"current",19,"beta0",0.1722624582125,1
"current",19,"beta1",0.0616701565437503,1
"current",19,"beta2",-0.261844258697903,1
"current",19,"beta_bm",-0.228896908694598,1
"current",19,"sigma_y",0.0375516734000001,1
"current",19,"tau0",0.20169534448625,1
"current",19,"tau1",-0.0739353523687503,1
"current",19,"gamma0",-0.407038799337499,1
"current",19,"gamma1",-0.112314328406373,1
"current",19,"gamma2",0.744686920966178,1
"current",19,"alpha",-0.103355801775,1
"current",20,"beta0",0.00152332383750009,1
"current",20,"beta1",-0.13309649008125,1
"current",20,"beta2",-0.0123113962298563,1
"current",20,"beta_bm",-0.0784039184580042,1
"current",20,"sigma_y",-0.01435025769375,1
"current",20,"tau0",0.0257585517925001,1
"current",20,"tau1",0.0743046050687499,1
"current",20,"gamma0",0.6929353164125,1
"current",20,"gamma1",0.155236916878509,1
"current",20,"gamma2",0.76448018208625,1
"current",20,"alpha",0.233306215053125,1
"current",21,"beta0",-0.117447945475,1
"current",21,"beta1",0.55272978904375,1
"current",21,"beta2",-0.252641692924772,1
"current",21,"beta_bm",-0.0359323336160042,1
"current",21,"sigma_y",0.0781416274625002,1
"current",21,"tau0",-0.268447675935625,1
"current",21,"tau1",-0.0576607509312499,1
"current",21,"gamma0",0.940813012006251,1
"current",21,"gamma1",0.264581985844581,1
"current",21,"gamma2",0.445139727603125,1
"current",21,"alpha",0.27669904745625,1
"current",22,"beta0",-0.2365985556625,1
"current",22,"beta1",0.0455128353875001,1
"current",22,"beta2",-0.0166998382584813,1
"current",22,"beta_bm",0.0856635548825895,1
"current",22,"sigma_y",0.00988644140000017,1
"current",22,"tau0",0.00119918075812508,1
"current",22,"tau1",0.218629415225,1
"current",22,"gamma0",1.13697413219375,1
"current",22,"gamma1",0.37380018575739,1
"current",22,"gamma2",1.32825429183338,0
"current",22,"alpha",0.578554212796875,0
"current",23,"beta0",0.0159744107749997,1
"current",23,"beta1",0.13766704204375,1
"current",23,"beta2",-0.214472866737911,1
"current",23,"beta_bm",-0.145146578052282,1
"current",23,"sigma_y",-0.0356089836937499,1
"current",23,"tau0",0.23811467092375,1
"current",23,"tau1",-0.10909861749375,1
"current",23,"gamma0",-0.906436374462499,1
"current",23,"gamma1",0.0138324982747274,1
"current",23,"gamma2",1.43655630316278,0
"current",23,"alpha",-0.17080173799375,1
"current",24,"beta0",-0.16401983375625,1
"current",24,"beta1",1.1863299757875,0
"current",24,"beta2",-0.530513510765912,0
"current",24,"beta_bm",-0.195965463023942,1
"current",24,"sigma_y",-0.0214948801624999,1
"current",24,"tau0",-0.0782979433418751,1
"current",24,"tau1",0.1933250855375,1
"current",24,"gamma0",0.857524805225,1
"current",24,"gamma1",0.394936345579491,1
"current",24,"gamma2",1.0287925791992,1
"current",24,"alpha",0.30525996931875,1
"current",25,"beta0",0.23697319339375,1
"current",25,"beta1",0.36169885460625,1
"current",25,"beta2",-0.169985347684791,1
"current",25,"beta_bm",-0.379446686807417,1
"current",25,"sigma_y",-0.0452796617562499,1
"current",25,"tau0",-0.0809924482137501,1
"current",25,"tau1",0.33742633450625,1
"current",25,"gamma0",0.987652210068751,1
"current",25,"gamma1",0.269361957640733,1
"current",25,"gamma2",0.581889581904688,1
"current",25,"alpha",0.1776967907125,1
"current",26,"beta0",0.1528143819625,1
"current",26,"beta1",0.0484310313562504,1
"current",26,"beta2",-0.145248226373306,1
"current",26,"beta_bm",-0.129633298222879,1
"current",26,"sigma_y",0.01381996761875,1
"current",26,"tau0",-0.2060713427575,1
"current",26,"tau1",0.315743358475,1
"current",26,"gamma0",1.123365993225,1
"current",26,"gamma1",0.25053894116624,1
"current",26,"gamma2",1.54271456653114,0
"current",26,"alpha",0.378083446334375,1
"current",27,"beta0",-0.169152524975,1
"current",27,"beta1",0.651139591446875,1
"current",27,"beta2",-0.264630228792616,1
"current",27,"beta_bm",0.114066429396652,1
"current",27,"sigma_y",-0.0557389537874999,1
"current",27,"tau0",-0.15670936575125,1
"current",27,"tau1",-0.21438038293125,1
"current",27,"gamma0",0.63435279900625,1
"current",27,"gamma1",-0.100581988390054,1
"current",27,"gamma2",-0.0857357022862497,1
"current",27,"alpha",0.174259357315625,1
"current",28,"beta0",-0.470560311975,1
"current",28,"beta1",0.16417185223125,1
"current",28,"beta2",-0.166242414188178,1
"current",28,"beta_bm",0.147913648770715,1
"current",28,"sigma_y",0.05597273415,1
"current",28,"tau0",0.03399690412375,1
"current",28,"tau1",-0.08384528215,1
"current",28,"gamma0",0.8245820666625,1
"current",28,"gamma1",-0.0745834368244662,1
"current",28,"gamma2",0.304528152780313,1
"current",28,"alpha",0.26853878278125,1
"current",29,"beta0",0.143239871246875,1
"current",29,"beta1",0.0184230267312504,1
"current",29,"beta2",-0.1116006245506,1
"current",29,"beta_bm",-0.191475669647629,1
"current",29,"sigma_y",0.0932460441812502,1
"current",29,"tau0",0.012749012505,1
"current",29,"tau1",0.46100914369375,0
"current",29,"gamma0",-0.0553862353375001,1
"current",29,"gamma1",-0.0848406388580194,1
"current",29,"gamma2",1.26243115133761,1
"current",29,"alpha",0.00850578125625012,1
"current",30,"beta0",-0.13692629475625,1
"current",30,"beta1",0.4037997248875,1
"current",30,"beta2",-0.200490435018628,1
"current",30,"beta_bm",-0.225766582134317,1
"current",30,"sigma_y",-0.00608489388124989,1
"current",30,"tau0",0.346789263705,0
"current",30,"tau1",-0.18781585105625,1
"current",30,"gamma0",1.21148232494375,1
"current",30,"gamma1",0.116425166904843,1
"current",30,"gamma2",0.495984565345625,1
"current",30,"alpha",0.3808306313,1
"current",31,"beta0",-0.14189492650625,1
"current",31,"beta1",0.365942191325,1
"current",31,"beta2",-0.273590755966578,1
"current",31,"beta_bm",0.056910148548277,1
"current",31,"sigma_y",-0.06767590106875,1
"current",31,"tau0",0.0707364331362499,1
"current",31,"tau1",0.15035124300625,1
"current",31,"gamma0",1.33500217150625,1
"current",31,"gamma1",-0.345252015162335,1
"current",31,"gamma2",0.672170252022469,1
"current",31,"alpha",0.38005233521875,1
"current",32,"beta0",-0.25899695600625,1
"current",32,"beta1",0.50525036166875,1
"current",32,"beta2",-0.0800613858169656,1
"current",32,"beta_bm",-0.002750654861848,1
"current",32,"sigma_y",-0.0338960497874998,1
"current",32,"tau0",0.30917574898625,0
"current",32,"tau1",-0.13349001074375,1
"current",32,"gamma0",2.18978354562813,0
"current",32,"gamma1",-0.122803590369491,1
"current",32,"gamma2",0.269854101885406,1
"current",32,"alpha",0.5983955066875,0
"current",33,"beta0",-0.1422486601,1
"current",33,"beta1",1.05196190224063,0
"current",33,"beta2",-0.520005623543296,0
"current",33,"beta_bm",-0.207109267099248,1
"current",33,"sigma_y",0.08534291649375,1
"current",33,"tau0",-0.0207715290918751,1
"current",33,"tau1",-0.0344821338062502,1
"current",33,"gamma0",0.88699409985,1
"current",33,"gamma1",-0.407089396100022,1
"current",33,"gamma2",0.668014142929313,1
"current",33,"alpha",0.17497526476875,1
"current",34,"beta0",0.2246052718375,1
"current",34,"beta1",0.0565059434187503,1
"current",34,"beta2",0.0134889261702478,1
"current",34,"beta_bm",-0.376532660369066,1
"current",34,"sigma_y",-0.0538556921312499,1
"current",34,"tau0",-0.010138426595,1
"current",34,"tau1",0.0515755069437498,1
"current",34,"gamma0",1.250119910225,1
"current",34,"gamma1",-0.446066174881585,1
"current",34,"gamma2",1.56343867487513,0
"current",34,"alpha",0.3668043711,1
"current",35,"beta0",-0.0249727809750002,1
"current",35,"beta1",0.483658994325,1
