"prior_set","param","prior_mean","prior_sd","post_mean","post_sd","q2.5","q97.5","truth","bias","covered","conflict_sd","sd_ratio","max_rhat"
"wide2","beta_bm",0,1,0.629559222237594,0.185490316379986,0.258716849,0.995313556,0.680951440993973,-0.0513922187563792,1,0.629559222237594,0.185490316379986,1.00849238105649
"wide2","sigma_y",1,1,1.6360120915,0.048726259529783,1.5449215025,1.734757565,1.692879175725,-0.0568670842249999,1,0.6360120915,0.048726259529783,1.00849238105649
"wide2","tau0",1,1,1.349450847625,0.141080871263272,1.0826665575,1.639573205,1.371931587795,-0.02248074017,1,0.349450847625,0.141080871263272,1.00849238105649
"wide2","tau1",1,1,2.00446176196875,0.196546874888975,1.6555863325,2.4084726825,2.22407458715,-0.21961282518125,1,1.00446176196875,0.196546874888975,1.00849238105649
"wide2","gamma0",-2,4,-5.98719475809375,1.23914032785375,-8.682236355,-3.8846793075,-5.684896726225,-0.30229803186875,1,0.996798689523438,0.309785081963437,1.00849238105649
"wide2","gamma1",0,2,-1.58650809930591,0.464025549169526,-2.5501331675,-0.7066524545,-0.68254500985029,-0.903963089455616,0,0.793254049652953,0.232012774584763,1.00849238105649
"wide2","gamma2",0,2,-0.30861998133961,0.715305972026323,-1.6667027525,1.1742891075,-2.3245941361325,2.01597415479289,0,0.154309990669805,0.357652986013162,1.00849238105649
"wide2","alpha",-0.5,1.5,-1.8261106634375,0.319220130368993,-2.54863282,-1.3007250425,-1.77391394685,-0.0521967165874999,1,0.884073775625,0.212813420245995,1.00849238105649
"wide4","beta0",-2.5,2,-1.67624341857812,0.247523810484512,-2.143284765,-1.193474655,-2.106995541275,0.430752122696875,1,0.411878290710938,0.123761905242256,1.00939776006063
"wide4","beta1",-1,4,-3.3197163031875,0.405747402932765,-4.11160624,-2.5426253525,-3.233727302575,-0.0859890006124999,1,0.579929075796875,0.101436850733191,1.00939776006063
"wide4","beta2",0,2,0.344634971349856,0.210153445004123,-0.0522291556,0.75934969875,0.4546508964202,-0.110015925070344,1,0.172317485674928,0.105076722502062,1.00939776006063
"wide4","beta_bm",0,1,0.642716887076969,0.187522196341594,0.276524054,0.992095797,0.680951440993973,-0.0382345539170043,1,0.642716887076969,0.187522196341594,1.00939776006063
"wide4","sigma_y",1,1,1.63899232825,0.0472578630431364,1.549621135,1.7363473575,1.692879175725,-0.0538868474749998,1,0.63899232825,0.0472578630431364,1.00939776006063
"wide4","tau0",1,1,1.34339441684063,0.143619628135391,1.070477555,1.6437952025,1.371931587795,-0.0285371709543749,1,0.343394416840625,0.143619628135391,1.00939776006063
"wide4","tau1",1,1,2.0133154325,0.196156048882145,1.6574599975,2.4253940625,2.22407458715,-0.21075915465,1,1.0133154325,0.196156048882145,1.00939776006063
"wide4","gamma0",-2,8,-6.7651788165625,1.59762042903753,-10.497692975,-4.2739993575,-5.684896726225,-1.0802820903375,1,0.595647352070312,0.199702553629692,1.00939776006063
"wide4","gamma1",0,4,-1.68810442078125,0.492507737588808,-2.719380615,-0.7817879655,-0.68254500985029,-1.00555941093096,0,0.422026105195312,0.123126934397202,1.00939776006063
"wide4","gamma2",0,4,-0.28454039876665,0.817617599008557,-1.9057503775,1.3051598475,-2.3245941361325,2.04005373736585,0,0.0711350996916625,0.204404399752139,1.00939776006063
"wide4","alpha",-0.5,3,-2.04194957815625,0.413888443653824,-3.0020902,-1.374313945,-1.77391394685,-0.26803563130625,1,0.51398319271875,0.137962814551275,1.00939776006063
"vague","beta0",-2.5,2,-1.65938780054063,0.23772236198915,-2.1137892975,-1.18156703,-2.106995541275,0.447607740734375,1,0.420306099729687,0.118861180994575,1.01080929357062
"vague","beta1",-1,10,-3.329488167875,0.410977955932387,-4.1554889375,-2.5314871375,-3.233727302575,-0.0957608652999999,1,0.2329488167875,0.0410977955932387,1.01080929357062
"vague","beta2",0,5,0.355898061199997,0.211612053944152,-0.052507288775,0.7766219685,0.4546508964202,-0.0987528352202031,1,0.0711796122399994,0.0423224107888305,1.01080929357062
"vague","beta_bm",0,1,0.643219872741562,0.184023379633226,0.2772660205,0.991893126,0.680951440993973,-0.0377315682524105,1,0.643219872741562,0.184023379633226,1.01080929357062
"vague","sigma_y",2,2,1.6416597941875,0.0486712821071376,1.5476490475,1.7386990675,1.692879175725,-0.0512193815374999,1,0.17917010290625,0.0243356410535688,1.01080929357062
"vague","tau0",2,2,1.34968111685,0.142156670778673,1.0780582125,1.631025075,1.371931587795,-0.022250470945,1,0.325159441575,0.0710783353893365,1.01080929357062
"vague","tau1",2,2,2.02344659784375,0.201356163108298,1.660616515,2.438321965,2.22407458715,-0.20062798930625,1,0.011723298921875,0.100678081554149,1.01080929357062
"vague","gamma0",-2,20,-7.00539740153125,1.87659269670293,-11.373666325,-4.24650447,-5.684896726225,-1.32050067530625,1,0.250269870076563,0.0938296348351464,1.01080929357062
"vague","gamma1",0,10,-1.72264551431753,0.514069349594244,-2.8124089925,-0.775648573,-0.68254500985029,-1.04010050446724,0,0.172264551431753,0.0514069349594244,1.01080929357062
"vague","gamma2",0,10,-0.257044791457322,0.843451314220114,-1.8874891375,1.444174285,-2.3245941361325,2.06754934467518,0,0.0257044791457322,0.0843451314220114,1.01080929357062
"vague","alpha",-0.5,7.5,-2.10947327886875,0.494067009260232,-3.29296801,-1.3922318625,-1.77391394685,-0.33555933201875,1,0.2145964371825,0.0658756012346976,1.01080929357062
