"task_id","scen_id","tag","n","rep","param","post_mean","truth","bias","covered","ci_width","ndiv","ebfmi","rhat_max","comp_fail","dgm_tag","label","truth_defined","ess_min","fit_bad","fit_marginal","ess_tail_min"
"s01_central_n87_r005",1,"central",87,5,"tau1",2.1354661421875,2.2,-0.0645338578125001,1,0.7902689975,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"gamma0",-3.9565837090625,-4.09,0.1334162909375,1,3.012822165,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"gamma1",-0.438509557006228,-0.23,-0.208509557006228,1,1.53028708625,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"gamma2",-1.40842045506882,-1.83,0.421579544931185,1,2.48072818575,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r005",1,"central",87,5,"alpha",-1.26250314798125,-1.27,0.00749685201874994,1,0.6944405645,0,0.652181996106671,1.00752071817625,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"beta0",-2.43490560834375,-2.07,-0.36490560834375,1,0.9386893825,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"beta1",-3.27186437484375,-3.56,0.28813562515625,1,1.6219676425,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"beta2",0.584727223084375,0.5,0.084727223084375,1,0.72834496725,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"beta_bm",0.74327149713125,0.61,0.13327149713125,1,0.656469143,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"sigma_y",1.8284542894375,1.81,0.0184542894374999,1,0.170587205,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"tau0",0.96571166555625,0.97,-0.00428833444374999,1,0.51319209925,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"tau1",2.1016495398125,2.2,-0.0983504601875,1,0.7753484375,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"gamma0",-4.3087918704375,-4.09,-0.2187918704375,1,3.520619765,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"gamma1",-0.729821885464441,-0.23,-0.499821885464441,1,1.4949277852275,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"gamma2",-1.63459221926735,-1.83,0.195407780732647,1,2.41097746475,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r007",1,"central",87,7,"alpha",-1.38306268177187,-1.27,-0.113062681771875,1,0.83148997525,0,0.609032265935284,1.00596712435976,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
