dgm_tag,scen_id,label,n,param,nrep,bias,bias_mcse,coverage,cov_mcse,ci_width
v1_legacy_legacy_hazard,7,Informative monitoring,150,tau1,30,0.0677,0.0333,0.867,0.062,0.667
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,alpha,26,-0.002,0.0192,0.923,0.052,0.403
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,beta0,26,-0.032,0.0224,1.0,0.0,0.525
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,beta1,26,0.1325,0.0418,0.962,0.038,0.959
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,beta2,26,-0.0739,0.0145,1.0,0.0,0.446
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,beta_bm,26,-0.0102,0.0209,0.962,0.038,0.371
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,gamma0,26,-0.0735,0.0855,0.923,0.052,1.768
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,gamma1,26,-0.0221,0.0454,0.962,0.038,0.88
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,gamma2,26,0.3577,0.0582,0.885,0.063,1.463
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,sigma_y,26,0.0012,0.0031,0.962,0.038,0.092
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,tau0,26,-0.0098,0.0149,0.962,0.038,0.298
v1_legacy_legacy_hazard,8,"Correct specification, n=300",300,tau1,26,0.0049,0.0252,0.962,0.038,0.467
