"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c2_floor_n150_ni_r065",2,"floor",150,FALSE,65,"v2_cohort_posterior_hazard",0.101504852097205,1.39075149375013,2.0656997145779,0.597602896445956,0.733333333333333,0,0.590310214016326
"c2_floor_n150_ni_r066",2,"floor",150,FALSE,66,"v2_cohort_posterior_hazard",0.0914907087337661,1.39255931121784,2.1863983703559,0.603370732759188,0.733333333333333,0,0.595361440888732
"c2_floor_n150_ni_r067",2,"floor",150,FALSE,67,"v2_cohort_posterior_hazard",0.143799436040359,1.09200309897395,1.20445614091677,0.603745417451608,0.753333333333333,0,0.586395506181755
"c2_floor_n150_ni_r068",2,"floor",150,FALSE,68,"v2_cohort_posterior_hazard",0.0985831095149079,1.02151846041504,1.72559922427852,0.573126219046285,0.686666666666667,0,0.659848487074402
"c2_floor_n150_ni_r069",2,"floor",150,FALSE,69,"v2_cohort_posterior_hazard",0.0981470848014773,0.910624581467542,1.90732230901369,0.612129950738459,0.726666666666667,0,0.59124365250314
"c2_floor_n150_ni_r070",2,"floor",150,FALSE,70,"v2_cohort_posterior_hazard",0.100678955617515,1.47608122876967,1.45636808239629,0.60614883380944,0.753333333333333,0,0.590121026109636
"c2_floor_n150_ni_r071",2,"floor",150,FALSE,71,"v2_cohort_posterior_hazard",0.104402560209974,1.24088368165337,1.64822147771501,0.563168089003487,0.693333333333333,0,0.624796158816721
"c2_floor_n150_ni_r072",2,"floor",150,FALSE,72,"v2_cohort_posterior_hazard",0.148360955296941,1.18699878522319,1.06794500560883,0.573255970837899,0.74,0,0.579141499175611
"c2_floor_n150_ni_r073",2,"floor",150,FALSE,73,"v2_cohort_posterior_hazard",0.125837496599006,1.43547694924222,1.51838164263601,0.630220942422456,0.806666666666667,0,0.578880052731734
"c2_floor_n150_ni_r074",2,"floor",150,FALSE,74,"v2_cohort_posterior_hazard",0.100721038393669,1.34769912916867,1.84770540621734,0.568634346283259,0.706666666666667,0,0.588408668960508
