"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"z_b[1,33]",-0.852476010431528,-0.846636985,0.786174116680636,0.761723059629,-2.13908125,0.4477581455,1.00020531354194,9235.60697240819,5961.40726645968
"z_b[2,33]",-1.30515780577581,-1.28680065,0.73513076217002,0.737210633376,-2.55606248,-0.1239866885,1.00003811275692,8681.7023795093,6123.7280713279
"z_b[1,34]",0.126864448593448,0.1282728,0.68040955046305,0.675418986249,-1.00124722,1.24723194,1.00058827489754,7469.90705715963,6112.21226447204
"z_b[2,34]",-0.0325775030616799,-0.037334624,0.454706582524381,0.4377104235336,-0.782612619,0.7110531145,1.00010492968558,7289.24412163715,6065.84191758384
"z_b[1,35]",0.590809237024333,0.587380825,0.729287715737395,0.716252028975,-0.596765369,1.79355144,1.00055384441251,7481.42120113031,6071.79549439422
"z_b[2,35]",0.025781951827915,0.0328094055,0.39503972399741,0.383326141044,-0.6298404705,0.6680878685,1.00070913576839,5806.63108498897,5452.77648094717
"z_b[1,36]",0.355721925090386,0.35616406,0.753345218003895,0.752457254409,-0.885230896,1.6005533,1.00006604727827,6956.72544998296,5627.02592995528
"z_b[2,36]",1.46961574676163,1.4596607,0.421049799448636,0.40705205541,0.793938854,2.177835985,1.00062465583298,5150.62065155814,5436.0839227748
"z_b[1,37]",0.709870385159494,0.71400459,0.764356245062913,0.753242483847,-0.5529256725,1.94947339,1.00045673136043,7003.62993153791,6281.68496149599
"z_b[2,37]",0.20220390099425,0.210188865,0.403628153684664,0.388113078381,-0.461564423,0.858009481499999,1.00123773053842,5912.08551001288,6139.72603845196
"z_b[1,38]",0.42650987989382,0.419402575,0.885610828256528,0.885218487594,-1.032902555,1.884625585,1.00026650700528,7204.1753797247,6566.17528337615
"z_b[2,38]",0.644228660566259,0.63598136,0.540959000423651,0.525894669447,-0.231655784,1.539716615,1.00013708383332,6792.96034822795,6014.63761757103
"z_b[1,39]",0.305869070262279,0.291957675,0.724988404166154,0.719704552182,-0.8427884305,1.540624275,1.00037947112736,7707.45499378504,6072.09509733496
"z_b[2,39]",-0.602367206518184,-0.580296295,0.643285178684539,0.631316640024,-1.70928165,0.414057628,1.00002924748015,7682.18821610169,6008.99508939262
"z_b[1,40]",-0.890525312759059,-0.90048219,0.749574556450629,0.727577291616,-2.08323689,0.3817974975,0.99995187015488,7263.19451489912,5962.24840769183
"z_b[2,40]",0.731963726562459,0.71528153,0.396897200212412,0.391993109298,0.1117272595,1.40790521,0.99998525547353,4522.39323497817,5943.00401216162
"z_b[1,41]",0.590126181096046,0.605209425,0.717258838433818,0.713454036603,-0.5852482155,1.75062891,1.00030659244004,7947.25975970711,5352.32190766473
"z_b[2,41]",0.736151984713586,0.72397977,0.717758909504511,0.703577563269,-0.4476155615,1.94343279,1.00039102061093,8710.45093449694,6333.24897280202
"z_b[1,42]",-0.330994064811591,-0.337518035,0.715036974399978,0.698723634651,-1.486515215,0.8408993805,1.00031555323558,8026.2593185048,5905.6831664603
"z_b[2,42]",-1.13177461694794,-1.11149835,0.754079195852993,0.75977638359,-2.397708455,0.0689871221499988,1.00016501828991,8860.2596092664,5597.33313815967
"z_b[1,43]",0.931333441668586,0.9295346,0.721670950867547,0.707944205745,-0.2352031805,2.14291955,1.00055115166633,6563.97705828871,6184.05726553909
"z_b[2,43]",0.58917781184495,0.58576584,0.344863750323891,0.337273671735,0.02915904365,1.16177334,1.00022169066566,4491.06196412706,5440.69664884877
"z_b[1,44]",0.727346182131036,0.72514028,0.841894410761403,0.825957067866,-0.6329964835,2.141748005,1.00009884393963,6914.07817039373,6032.05961063581
"z_b[2,44]",-0.173233925251755,-0.155740585,0.447639432076676,0.424973827992,-0.9397034045,0.5385641155,0.99987373987759,5977.39755749779,5792.64838993807
"z_b[1,45]",0.302431725896952,0.29827382,0.704787616077492,0.705909174159,-0.8577355185,1.458587905,1.00026555111054,7319.36961011894,5623.58286483544
"z_b[2,45]",-0.583090586262284,-0.566301245,0.574564641545944,0.565966930809,-1.548250445,0.3278611745,0.999988619527297,7929.4386336457,6523.34310621776
"z_b[1,46]",-0.386824275768493,-0.400335725,0.741122706930586,0.729078817005,-1.566911365,0.845385165499999,1.00028659880912,7805.67179338595,6221.89670713934
"z_b[2,46]",0.634160541114464,0.628095515,0.432597919837209,0.421560386121,-0.0568229214999999,1.35082266,1.0006622113357,6388.54415039778,5879.81907127615
"z_b[1,47]",0.309963294583411,0.313992015,0.732901846417071,0.741694230753,-0.8976062455,1.50428931,1.00059309598525,7275.2677051412,5895.82696329008
"z_b[2,47]",0.452594752309327,0.447258525,0.407498939203461,0.388623329997,-0.211369803,1.132851215,1.00062492019737,6230.6580714278,5766.01907017822
"z_b[1,48]",-0.353925275952116,-0.36821397,0.715655621900723,0.709569216888,-1.514307185,0.852688928,1.00020593659392,8261.78659048479,6282.9478418099
"z_b[2,48]",0.90954647383952,0.900304455,0.460803125674373,0.436345814772,0.16392199,1.684844165,1.00116014273813,6467.73836642698,5415.67039970956
"z_b[1,49]",-0.523532656139597,-0.530695125,0.688952280292269,0.6672683719926,-1.65189853,0.648963290499999,1.00034931891183,7269.64485727008,5424.29873706838
"z_b[2,49]",0.710411466251535,0.70141333,0.443315701930191,0.435947677368,-0.00646508343999999,1.45363782,0.999775411527825,6232.14701017348,6273.13121887533
"z_b[1,50]",-1.17032404192283,-1.18666955,0.779191348603439,0.766692979458,-2.40529133,0.124822743,1.0001894475205,6511.48934879787,5620.48882403804
"z_b[2,50]",0.386173906249747,0.3805401,0.537252434654939,0.523751541495,-0.4778411285,1.29002998,1.00042283198871,6273.0228458039,5843.65005682357
"z_b[1,51]",-0.96771180153578,-0.979266565,0.821159224401338,0.79935075822,-2.316343585,0.3974300695,1.00015576239059,5616.678303001,5639.13871681006
"z_b[2,51]",0.748359617719149,0.738110335,0.412280985843372,0.400978243512,0.102308979,1.43924397,1.0001684183462,3685.69012332987,5593.87909436923
"z_b[1,52]",0.402061439926105,0.400108575,0.744532425153988,0.713006031948,-0.820652971,1.622148585,1.00019094701842,7312.63676475567,5787.44328693198
"z_b[2,52]",0.19427851363736,0.19542051,0.51218478640376,0.492233155659,-0.6407734145,1.036691125,1.00011100363294,6527.78386267745,5493.12857832966
"z_b[1,53]",0.159179454637768,0.149165715,0.787729324736264,0.765114314391,-1.12766122,1.477327605,1.00010685069068,7252.82691435348,5731.11509967789
"z_b[2,53]",-0.169007372879177,-0.160509415,0.472926159927333,0.44760754059,-0.9537809865,0.600975236999999,1.00054838433762,6131.79989743478,5573.86722362647
"z_b[1,54]",0.619218171985561,0.61158207,0.698299975921898,0.708932217798,-0.5059541355,1.77257597,1.00099187118962,7334.41122777454,5992.61115775402
"z_b[2,54]",-0.516602385048754,-0.499517235,0.492967237876488,0.48777250893,-1.36143536,0.256166874999999,1.0002427938713,6653.01409157017,6279.86480030207
"z_b[1,55]",-0.516558032023571,-0.536560235,0.711933086622236,0.6919354297191,-1.66892144,0.6612377985,1.00152705642274,8089.43135807806,5863.2300060692
"z_b[2,55]",-1.30236441746213,-1.2831255,0.778607627477642,0.7749201789,-2.614679855,-0.0581051699000006,1.00040752695707,8841.97447214071,6254.60500810862
"z_b[1,56]",-0.488530991261336,-0.502405875,0.755656660921511,0.7685754240759,-1.70770712,0.766743236499998,0.999885086865777,7401.72056707741,5920.1141868453
"z_b[2,56]",0.982033935692969,0.974698895,0.511280962564363,0.505883957943,0.1669211805,1.83649674,1.00019110257688,6406.23023642354,6013.07011067635
"z_b[1,57]",0.134189345308026,0.14169973,0.806964276810387,0.79699794615,-1.20313306,1.437868085,1.00088946507687,8986.05598540237,6282.01266740966
"z_b[2,57]",1.23353138374143,1.2221998,0.641558338492904,0.644930466264,0.204348008,2.304079055,1.00075510296611,8922.42832026027,6516.98731855982
"z_b[1,58]",-0.269339522605247,-0.269267805,0.95733564516091,0.950338660677,-1.84875936,1.30840266,1.00075816338133,11594.6845299137,6287.78586900954
"z_b[2,58]",-0.77355941692632,-0.718522225,0.684508694555028,0.671178690945,-1.96984613,0.2481540665,1.00081044202987,8222.64042973499,5551.5348110882
"z_b[1,59]",0.272090659205213,0.265829225,0.741658360292346,0.73140712911,-0.9372413635,1.504243975,1.0006922080537,6955.82266364414,6134.22609862879
"z_b[2,59]",0.114397718152365,0.11605788,0.443124074996507,0.427946018451,-0.6225865485,0.8266048095,1.0010758254356,6069.2267211321,5897.0106153737
"z_b[1,60]",-0.723602507072515,-0.7212549,0.773717860404762,0.758998893324,-1.985932835,0.557794752499998,1.00085156641651,9429.02698851881,6203.74935224051
"z_b[2,60]",-0.938169549444935,-0.941330395,0.867341351183668,0.839848058763,-2.366334695,0.4670197885,1.00115986190045,10689.9088000678,6210.05553324666
"z_b[1,61]",0.501230439662782,0.51006632,0.788974035924748,0.787811207988,-0.783297569,1.8062763,1.00047796399367,7492.26839686049,5778.04036990736
"z_b[2,61]",1.35880457792368,1.3606271,0.551686204045906,0.536624238234,0.4571827915,2.256368175,1.00036840841407,7265.9163325675,5324.82215249306
"z_b[1,62]",0.470897357083638,0.46942553,0.78810459988296,0.76554918321,-0.844562364,1.76318147,1.00066386302148,8103.88466928294,5548.25405052475
"z_b[2,62]",1.26881969308296,1.2689438,0.629201813184649,0.639454453512,0.230358138,2.31262468,1.00055619900987,9301.00803345583,5490.40916808881
"z_b[1,63]",-0.600991345370669,-0.6179926,0.715527047209537,0.671391562653,-1.73549815,0.616251051499998,1.00116929130571,7926.0124516144,4830.05163006244
"z_b[2,63]",-0.06783432819363,-0.0716275445,0.625003231248039,0.6191431960077,-1.087777835,0.9721439835,1.00048945500086,8277.61332442682,6297.29625531445
"z_b[1,64]",-1.01784112626033,-1.02933945,0.765226250430819,0.73837104957,-2.239383445,0.279449559,1.00015265357108,8270.12001130361,5726.46199776392
"z_b[2,64]",-1.07292230630451,-1.038617,0.795162825973383,0.771522393285,-2.45564332,0.1673599405,0.999865390031773,9310.66816910981,5974.19981328165
"z_b[1,65]",0.465445077974279,0.467436155,0.842141416668244,0.846177856377,-0.922565616,1.844409265,1.00049265057089,8888.01517485343,6468.97745505324
"z_b[2,65]",1.15552054017515,1.14562485,0.624013133349141,0.616052346399,0.1510609545,2.19758616,1.00001790435075,8438.09318885074,5916.29588076084
"z_b[1,66]",0.628883393958777,0.64637102,0.779028177780571,0.786218487873,-0.6489760465,1.89281396,0.999945591282881,8184.33244343099,5625.42445376408
"z_b[2,66]",0.9337822222756,0.93842223,0.783470374011669,0.78022677495,-0.3520872855,2.22020392,1.00014444984448,9087.14218214704,5968.99778733986
"z_b[1,67]",0.00115096294882125,-0.00686670725,0.752984877862064,0.743420926017,-1.22761421,1.24615561,1.00011614287896,7804.98527858638,5617.54742822839
"z_b[2,67]",0.0978360315049757,0.0949723765,0.619645708126418,0.6008229924669,-0.906226128,1.11614624,1.00015319064359,8261.11779594999,6054.19507838916
"z_b[1,68]",-1.25805785798357,-1.27697555,0.764646737849263,0.76375627503,-2.486082375,0.0171992534499992,1.00182381113336,6946.09852760494,4064.61337420495
"z_b[2,68]",-1.01688877894495,-1.01102545,0.901574093753829,0.880543367949,-2.497908805,0.444520524999999,1.00046028956908,8367.85213787686,5672.22793960483
"z_b[1,69]",-0.521548865478075,-0.53445645,0.689562248331118,0.6596488450713,-1.62636512,0.6348103715,1.00042068565063,8122.60483686802,6043.10107167576
"z_b[2,69]",-1.34804086757517,-1.35217025,0.771945649719707,0.771331486296,-2.60675192,-0.0737307056000004,1.00112402031452,8677.2946596204,6273.51808888769
"z_b[1,70]",0.327360118911543,0.33268206,0.811888776207561,0.788785594947,-1.007144125,1.6650336,1.00058886807165,9450.76127678308,6409.04278250534
"z_b[2,70]",0.780687076441474,0.780155205,0.745015159003105,0.739214493297,-0.447322435,2.01010321,1.00093866541114,10186.4443513302,6623.11287361584
"z_b[1,71]",-0.22312771276594,-0.226681705,0.733948942293625,0.730328137308,-1.40941586,0.9943141525,1.00026326292806,8040.03371958832,5781.00295636693
"z_b[2,71]",-0.0870898501342265,-0.079876277,0.682016618740022,0.673754693619,-1.220074165,1.02858232,1.00017972925731,8306.326013712,6086.13548298198
"z_b[1,72]",-0.260711054303305,-0.27054854,0.700528374612444,0.698490784908,-1.397176245,0.897540419999999,1.00053737589845,8701.61144701277,6427.49470368436
"z_b[2,72]",-0.747770358375114,-0.74154359,0.692134097525513,0.686645811663,-1.88857308,0.363442221499999,1.00035792401283,8824.16934159804,5871.57837003361
"z_b[1,73]",0.656819417402868,0.66229558,0.752288382723878,0.748734749742,-0.584458279,1.898133535,1.0000696034232,8791.085308383,6150.73614478953
"z_b[2,73]",0.769842957390539,0.76617697,0.728977543878466,0.713533392768,-0.4292115455,1.97525048,1.00179992988423,9542.50578910334,5654.91629135709
"z_b[1,74]",0.266509464209369,0.260618465,0.781652503221598,0.78468465663,-1.003106185,1.56282917,1.00026691079679,9511.40848218264,6227.21879835139
"z_b[2,74]",0.277107969575582,0.265708295,0.849657334157754,0.83939860116,-1.11335075,1.66451106,1.00049303125365,10123.9537065094,6183.12556273929
"z_b[1,75]",0.139847183866414,0.138753685,0.718481914555676,0.708625920051,-1.028227505,1.34699531,1.00019902280223,7483.69636981023,5735.12753309069
"z_b[2,75]",-0.603139037082466,-0.59539548,0.736408921318531,0.718033810242,-1.808500215,0.594390827999999,1.00002285806552,7966.9559878339,5710.91540630535
"z_b[1,76]",-0.479825155704906,-0.483641015,0.716653185322386,0.7020085973712,-1.61905898,0.7213714905,1.00005779858995,7685.52890681515,4693.24690440778
"z_b[2,76]",-0.3086186699595,-0.2995199,0.739362104759705,0.725205354006,-1.530851105,0.8836533685,1.00042355147644,8567.52946557595,5878.81120337204
"z_b[1,77]",-0.73959402888905,-0.75299098,0.861281535377199,0.857404659552,-2.13562234,0.677331634999999,1.00067679714925,7000.17272597445,5878.8965925607
"z_b[2,77]",0.165249393174691,0.16282582,0.608482236615078,0.60648777504,-0.818594353,1.16810978,1.00095261253067,6842.77440260442,6322.09310934277
"z_b[1,78]",-1.41294546194869,-1.42862735,0.830383559589188,0.811195479423,-2.726965645,-0.00456497627000056,1.00118000012186,7181.59562953547,5020.08026657338
"z_b[2,78]",-0.983135101692665,-0.98356479,0.906607473238268,0.897486780204,-2.461571645,0.5309914285,1.00024037326399,8906.53813532604,6116.17974884401
"z_b[1,79]",-0.543568584393572,-0.553004865,0.707826133302824,0.693203692461,-1.66683781,0.667442364,1.00029876200464,7770.11640792997,5686.29379528455
"z_b[2,79]",-1.16963758393741,-1.1683255,0.826993302348431,0.81928016394,-2.535539375,0.192850177,1.00102660039736,8842.4565793502,6089.36320220057
"z_b[1,80]",0.556817054686738,0.54585899,0.739102792184228,0.7248166696596,-0.657850045,1.77290713,0.99993524986802,8975.46499590254,6085.53432570421
"z_b[2,80]",0.453756357347221,0.441849645,0.894403206793668,0.898597566363,-1.036409825,1.9161674,1.0004125757872,10434.0425635261,6568.13759901074
"z_b[1,81]",1.07356091012575,1.0839922,0.757335887935062,0.758710112496,-0.1825425835,2.29744102,1.00021681971589,8337.14010502045,5153.1080346214
"z_b[2,81]",0.665315153542814,0.67254323,0.746071086897227,0.725073595344,-0.573707153,1.872026735,1.0002146650643,8587.2214027505,6280.10167495895
"z_b[1,82]",1.00571563524032,1.0077182,0.781517051350416,0.77279279616,-0.296045439,2.271341,1.00060763342091,6841.95171940009,5818.2415023112
"z_b[2,82]",1.12869689447051,1.12388635,0.773870877355281,0.757019096001,-0.132007118,2.421361975,1.0003616767869,9396.92154753406,5987.53899606174
"z_b[1,83]",0.788115194222343,0.788898675,0.757602994150225,0.744939241851,-0.455883721,2.03185641,1.00037683382179,9375.3810913212,5972.77385782162
