"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik_y[231]",-1.30233092103,-1.2293992,0.258901690556199,0.20337291219,-1.81347761,-1.03653188,1.00046341098851,9413.21398445449,6115.34471169824
"log_lik_y[232]",-1.30698646797875,-1.22800455,0.27014263339416,0.20644419222,-1.84366361,-1.035350675,1.00044655802125,9418.33725651619,6231.62012922116
"log_lik_y[233]",-5.8868399901375,-5.75256015,1.49061838421854,1.45535314785,-8.509074055,-3.65324575,1.0002167789089,10547.1438158227,6614.13859445751
"log_lik_y[234]",-1.26234678648875,-1.1692413,0.263160671057213,0.15799586355,-1.79666745,-1.025373875,0.999940031079788,8383.78411614237,7031.30764031512
"log_lik_y[235]",-1.492212605985,-1.4325475,0.309586139121418,0.2898675738,-2.080761345,-1.09808278,1.00003567140985,9454.71282316853,6476.79336925601
"log_lik_y[236]",-1.187302155705,-1.13543965,0.166135780467534,0.11473663488,-1.517166995,-1.018226995,1.00180098682334,6041.64099200403,5846.98320375382
"log_lik_y[237]",-1.13168869761625,-1.09938035,0.120361981210836,0.0742634339999999,-1.370902335,-1.00939896,1.00186788302678,4139.07055596415,5415.21575891559
"log_lik_y[238]",-1.13066324168,-1.0989744,0.118277366640844,0.0741328169399999,-1.366681505,-1.010644045,1.00209210207522,3885.30265017581,4563.01689810936
"log_lik_y[239]",-1.30606983875625,-1.17668985,0.348403703851616,0.1718496486,-2.02495082,-1.0233398,1.00039082895094,6874.8550023171,6859.50786948456
"log_lik_y[240]",-1.133870392535,-1.10037285,0.12125891882827,0.0754978467600001,-1.375140705,-1.01086131,1.00051901173958,5155.06481664906,5219.2051138415
"log_lik_y[241]",-1.20253119907875,-1.15626495,0.164181758432032,0.12490601067,-1.522643015,-1.024844295,1.00028942407578,9130.57029815692,6197.18992741815
"log_lik_y[242]",-1.26060756566375,-1.22490975,0.175396936336234,0.15945778128,-1.59454402,-1.04785792,1.00013738635669,10113.7065825032,6390.2933007685
"log_lik_y[243]",-1.13896847987125,-1.11305205,0.106244110717582,0.0825760756800002,-1.35216469,-1.017547655,0.99996538986889,7557.73502006067,5793.12232349813
"log_lik_y[244]",-2.048252753675,-2.00083265,0.409913290905891,0.40289343654,-2.79234221,-1.45123831,0.999947493024751,9823.57564452443,5437.05592350837
"log_lik_y[245]",-1.65456965263625,-1.5940543,0.377974891706253,0.35850431841,-2.37790094,-1.1536358,1.00019422651636,10086.9394777828,5910.60698498173
"log_lik_y[246]",-1.54483356872625,-1.46756045,0.376875965694505,0.34687117164,-2.284120355,-1.08317477,1.00008225726525,10265.7549558844,6409.44406488577
"log_lik_y[247]",-2.9385353435625,-2.8167455,0.949265204630638,0.92320249203,-4.70885406,-1.611375425,0.99995548202054,10520.3291152862,6633.60552441094
"log_lik_y[248]",-1.3883598834375,-1.3045098,0.321685838252658,0.27190009266,-2.022549005,-1.041336935,1.00055044212849,8745.43937211411,6273.58328518487
"log_lik_y[249]",-1.65252726062,-1.5995862,0.368746678170754,0.35260023456,-2.343329275,-1.152090605,1.00101779676276,9956.31595830465,6203.02411947757
"log_lik_y[250]",-1.099670937755,-1.083549,0.0803321242862137,0.0583293387600002,-1.24734808,-1.007329565,1.00034651426457,5330.51776808285,6372.97712679714
"log_lik_y[251]",-1.1204131859075,-1.0945417,0.104286666727555,0.0693664062,-1.324372905,-1.009197425,1.00011480870798,4774.91751717146,5220.90800744202
"log_lik_y[252]",-1.82328853890125,-1.75764405,0.416164549230683,0.39367722429,-2.588034445,-1.261354445,0.99997916810953,8852.05759374983,5165.27431242578
"log_lik_y[253]",-1.49311804323,-1.3765577,0.422066739836793,0.35048723304,-2.307087675,-1.04967766,0.999998679068021,8526.89922206177,5792.20541924713
"log_lik_y[254]",-1.761697982945,-1.6279827,0.610029641285695,0.54721535442,-2.90591794,-1.08223855,0.999902119865185,9924.16852301346,6449.96248592929
"log_lik_y[255]",-1.33598418886,-1.23384165,0.326020862865093,0.22716159984,-1.984830485,-1.02896661,1.00075330136599,8465.91607775278,6747.33627356895
"log_lik_y[256]",-1.18602917188875,-1.12301285,0.189639337272907,0.10412032932,-1.559760385,-1.016183105,1.00015771817357,6264.13092456149,6780.15615292744
"log_lik_y[257]",-1.20016343613625,-1.15195085,0.163706076425993,0.12245349375,-1.526553035,-1.025600645,0.999927560463017,8264.76829024792,6613.91722857824
"log_lik_y[258]",-1.108640770225,-1.0878096,0.0922953788775782,0.06319938324,-1.28749728,-1.00571548,1.00065779755777,4389.88446625551,4795.74398843515
"log_lik_y[259]",-1.12059088569125,-1.0933527,0.10663526851794,0.06977960682,-1.330984035,-1.007674885,1.00068178062254,4256.95883017272,5017.19211969299
"log_lik_y[260]",-1.150102645025,-1.1070547,0.14404455169303,0.0834370215,-1.438416125,-1.011820155,1.00048527795836,4433.91740347812,5303.86696802166
"log_lik_y[261]",-1.98668557309625,-1.823678,0.766172506269747,0.71845491312,-3.493632535,-1.079428455,1.00028937295267,7132.69690050345,6473.62563315894
"log_lik_y[262]",-1.11072235899375,-1.0888895,0.0923897401691761,0.0629417073600001,-1.289780715,-1.008342425,0.999822881470707,5297.76426103023,5874.30517939218
"log_lik_y[263]",-1.2494768620475,-1.210864,0.176620398693255,0.15535616838,-1.60170448,-1.03904522,0.999884611307338,8800.98701993752,7191.18855218676
"log_lik_y[264]",-1.12799389385875,-1.1050869,0.0987239367213882,0.0743297803499997,-1.329899175,-1.013804895,0.999865040947766,7251.16287963176,6824.31981647617
"log_lik_y[265]",-1.13692009288875,-1.1137678,0.100938748050811,0.07951168974,-1.34016084,-1.0182372,0.999879535818089,7543.42500338579,6419.95572826293
"log_lik_y[266]",-1.08664491427875,-1.07738075,0.0645849845397945,0.0510862447200001,-1.20412514,-1.002385815,1.00048734708773,3792.23934149813,4626.44654164082
"log_lik_y[267]",-1.09265194222875,-1.0810108,0.0701066111608275,0.05467843626,-1.219797555,-1.0054589,1.00043867802873,4075.35443908427,4567.09981386298
"log_lik_y[268]",-1.9769424551125,-1.91453955,0.452370070624423,0.4345107711,-2.803447045,-1.35256691,1.00019173514838,9097.74231490663,5685.59060811728
"log_lik_y[269]",-1.23822391579375,-1.14669005,0.260253143540278,0.13291538652,-1.75734676,-1.01846843,0.999960939427462,6641.10911797112,6249.58040588463
"log_lik_y[270]",-1.120137518195,-1.09382345,0.108937502663179,0.06697171068,-1.32357358,-1.00852607,1.0000271357697,4881.6742949338,4529.80302169275
"log_lik_y[271]",-1.15050986358,-1.1052388,0.155069939699286,0.08098583892,-1.4483845,-1.01229579,1.00018920782048,4975.78239029992,5176.74886835362
"log_lik_y[272]",-1.3181149796625,-1.2115257,0.32350431929088,0.20239988181,-1.94768089,-1.02756145,1.00020388322674,8233.80329523823,5408.00247723282
"log_lik_y[273]",-1.1862072941425,-1.12388095,0.186544094718601,0.10600122981,-1.56065588,-1.014807685,1.00004116425145,5779.0717449711,5332.97891603327
"log_lik_y[274]",-1.3201870980725,-1.25536435,0.249339869756639,0.21058665075,-1.818272765,-1.043989725,1.00008319503537,9835.17173262686,6675.00170084425
