scen,n,informative,est,rep,conv,brier,cal_int,cal_slope,mean_pred,obs_rate,est_b0,est_b1,est_b2,est_log_sigma,est_log_tau0,est_log_tau1,est_g0,est_g1,est_g2,est_alpha,se_b0,se_b1,se_b2,se_log_sigma,se_log_tau0,se_log_tau1,se_g0,se_g1,se_g2,se_alpha,est_log_sthr,se_log_sthr
ni_n87,87,0,floor,22,1,0.17103075448872965,1.8719182661995997,0.8298305069200987,0.6213991432265603,0.8620689655172413,-1.9550518644976398,-4.195657574092036,0.5820657219244793,0.567467004626301,0.23263893939989974,0.8887012106933935,-3.9232918028004016,-0.7335702977249152,-1.3891744798276329,-1.5189950656868993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,23,1,0.1814998130268542,1.4342898388345025,0.956732294677153,0.5709870188869834,0.7816091954022989,-2.2610772473939726,-3.344042269604519,0.3037458651340705,0.5262993651303544,0.371315193553387,0.6552774942944166,-4.644991648164954,-0.7864844628147352,-1.4958050374961842,-1.686423518684404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,24,1,0.17618862191234477,2.784386066517718,0.5039330639588536,0.6644914452269725,0.9540229885057471,-2.3581950066451194,-3.567490008981522,0.2853567479236083,0.5748086995037606,0.34957540471919796,0.5736013569292943,-4.568383992008668,-0.1452513405333712,-1.4717849878943103,-1.6026763549712366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,25,1,0.22145804117689769,1.843996707728743,0.5533616508337699,0.5890536535247399,0.8735632183908046,-2.1868580465494407,-2.9487349269466523,0.17698990266059686,0.5832744390612468,0.3338782868921417,0.5711310663860882,-2.9169542697369564,-0.7049026636149851,-1.390122922361632,-1.1792213687728506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,26,1,0.1900959044820322,1.921363866068634,0.7933157081596847,0.6019976165254626,0.8620689655172413,-2.2951702346221494,-2.930238523742889,0.253770848146185,0.5013917145813701,0.1657469277481103,0.6112407713051533,-3.606437259384067,-0.6952056445782889,-2.3258744721202365,-1.4726094783516734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,27,1,0.17790981121713906,1.9807439177545432,1.0120416193645643,0.6153555794109742,0.8620689655172413,-2.470901892573714,-2.76284065872969,0.07186530399240168,0.5589350092834566,0.2906193156090017,0.9196472290605631,-4.005045760530977,-0.28581326251169176,-1.144577415012433,-1.3791022100339827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,28,1,0.19954420071981135,1.530034763498894,0.58948390202391,0.6120590878335362,0.8390804597701149,-2.5061119739275135,-2.6484966420259783,0.1271346592275304,0.4724122865152657,0.25170672831964636,0.680796762289446,-5.158812573985686,-0.3371925088914288,-1.5015755554129622,-1.7541329957782157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,29,1,0.17775653325864987,2.34949646328033,1.2102026547964575,0.5864338787590275,0.8620689655172413,-2.422079662445942,-2.3158113572398737,-0.02566461854724672,0.5290378038459139,0.3455297550868454,0.6272017067340568,-4.491780988164735,0.3583264803379106,-2.5859621847772964,-1.5474264891796108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,30,1,0.20081007955110391,2.203152555781765,0.5996455891556718,0.6281332471601399,0.9080459770114943,-1.996797757836107,-2.967858204006639,0.27125628879812563,0.5844337386402209,0.3024002463292807,0.590124612382462,-4.575795586219339,0.4739263846134059,-2.108849412585506,-1.6380287274978012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,31,1,0.20434910420926714,1.7919010803246773,0.7238210840408403,0.578085106646754,0.8390804597701149,-2.131075047249803,-2.8681523619027742,0.015748855541479753,0.6426985896438722,0.31405960535594424,0.644071798348366,-4.294254165915009,0.01936729296369661,-1.8003872544986566,-1.4441225684579635,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,32,1,0.17621480950444574,2.5304897412580036,1.18728031323742,0.6118383433792224,0.8735632183908046,-1.998712820972123,-2.790886786465573,-0.26680071991436594,0.531866892136532,0.17738568735079016,0.8649988054995921,-4.276473901633691,0.03927332080914176,-1.6077637839048144,-1.5453713926050427,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,33,1,0.1827830081401347,1.802463050043492,0.8861556554336131,0.6010506339839753,0.8505747126436781,-1.7473396371170513,-3.0972712375177855,0.5435855567466416,0.523195660491428,0.35998100570230496,0.6343243673341935,-3.870358317031594,-0.2981501594380979,-1.198745048092294,-1.356628783408412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,34,1,0.19639342741111757,1.6868981954228235,0.7221084018589936,0.5584099283184277,0.8160919540229885,-2.310609416320325,-2.3353211692227536,0.06260987487091597,0.5459783170675462,-0.002058643117895539,0.7779102088470206,-4.453843802399706,0.35798451921069896,-2.0482730060305507,-1.4136136938006436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,35,1,0.20547126939675708,2.0345842003285015,0.7048824801737624,0.6019454733388991,0.8735632183908046,-2.2815467889869394,-2.930621035834871,0.09125100410983301,0.5665928731576557,0.2544544117122018,0.7989718677334089,-3.2859097198764062,-0.2017863942866611,-1.413972971793933,-1.2159647015873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,floor,36,1,0.211380881586718,2.0155566495276425,0.7810444197468128,0.5886650970911136,0.8735632183908046,-2.196833267422346,-2.7846645281476383,0.04307875890630897,0.5953682822225576,0.18300274162836364,0.8745491436724474,-3.083431007252193,-0.4071971657590865,-2.751080577148677,-1.3359010560093714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
