"scen","n","informative","estimator","rep","beta1","sigma_y","tau1","alpha","brier","mean_pred","obs_rate","se_beta1","se_tau1"
"ni_n87",87,FALSE,"exact",41,-1.7038824,1.1949253,7.6332414,-2.2766685,0.0731438504495796,0.66535197135819,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",42,-2.0602513,1.1419418,6.9995112,-2.4367207,0.0852989730198353,0.67866049204361,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",43,-2.0282779,1.0977474,7.610337,-2.5786652,0.0756337573128495,0.698631260354964,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",44,-2.0888561,1.0747087,6.819158,-2.271193,0.0935688356904839,0.649799466266398,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",45,-2.1227083,1.158927,7.393135,-2.4279758,0.0823669801268594,0.674726790531032,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",46,-1.5904451,1.1243063,7.3327902,-2.5862084,0.0562923652498229,0.671497892875922,0.770114942528736,NA,NA
"ni_n87",87,FALSE,"exact",47,-2.0182034,1.1605481,6.899226,-2.1411566,0.113793664437065,0.66958959440594,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",48,-1.8379504,1.1597385,7.4980837,-2.6063927,0.074760997156006,0.723516200031936,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",49,-2.1738573,1.0858281,7.2185571,-2.2355614,0.111195044206892,0.680401989595071,0.827586206896552,NA,NA
"ni_n87",87,FALSE,"exact",50,-2.1322742,1.0611556,7.4143267,-1.7784228,0.130096644047794,0.576903607475118,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"exact",51,-2.0275601,1.2084299,7.3048561,-2.4474815,0.100627160685595,0.705120019620502,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",52,-1.607338,1.1716859,6.6102854,-2.5197674,0.0817690333363831,0.698934229147722,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",53,-1.6643109,1.2324063,6.9249436,-2.6273127,0.0853576864523642,0.621554888633722,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"exact",54,-2.7354969,1.0718436,7.2070178,-1.9324452,0.123949328931008,0.697245228225286,0.873563218390805,NA,NA
"ni_n87",87,FALSE,"exact",55,-2.0934437,1.081771,6.2359008,-2.173684,0.131968788349119,0.602902086329345,0.747126436781609,NA,NA
"ni_n87",87,FALSE,"exact",56,-2.3070323,1.1474332,7.1957984,-2.345973,0.114423210783499,0.604838288523069,0.735632183908046,NA,NA
"ni_n87",87,FALSE,"exact",57,-2.3040899,1.0077082,7.7406727,-2.5031906,0.0929814246447467,0.707981201495442,0.816091954022989,NA,NA
"ni_n87",87,FALSE,"exact",58,-2.0943212,1.2456354,6.585224,-2.5989765,0.0783476175187602,0.674533520609224,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",59,-1.922202,1.1348755,6.7133506,-2.5723262,0.06083310601993,0.667131938354613,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",60,-1.5724652,1.2282256,6.9946876,-2.3638455,0.103212670736609,0.662348603209529,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",61,-2.1899481,1.2386642,6.445972,-3.0853824,0.0335151244426782,0.716046232449679,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",62,-2.2010053,1.0988547,6.804375,-2.1308926,0.130906761644081,0.647015123527871,0.793103448275862,NA,NA
"ni_n87",87,FALSE,"exact",63,-2.1239083,1.1816073,6.5036098,-2.6940044,0.0838027578598805,0.604685140007119,0.701149425287356,NA,NA
"ni_n87",87,FALSE,"exact",64,-1.8744345,1.1531726,7.2294826,-2.2652936,0.0887626387140758,0.645802895432703,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",65,-1.8977486,1.0710288,6.6371161,-2.5038878,0.0747995327522708,0.667389340794258,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",66,-2.1737404,1.1470112,5.7374155,-2.533059,0.0738699859189227,0.668686099245594,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",67,-2.0247464,1.1435921,6.5022829,-2.3073484,0.0928449446553564,0.723729040105247,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",68,-1.9433703,1.0802552,6.9625999,-2.2136892,0.0868407930986325,0.70606720417513,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",69,-2.2432158,1.0833264,7.2283027,-2.1767415,0.0922683022608502,0.686002919032153,0.839080459770115,NA,NA
"ni_n87",87,FALSE,"exact",70,-2.4637691,1.1599561,5.8362317,-2.3263669,0.121489755962969,0.711387697449125,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",71,-2.2861324,1.1968632,7.035069,-2.4951025,0.0765989733999723,0.724490945965849,0.873563218390805,NA,NA
"ni_n87",87,FALSE,"exact",72,-2.1249273,0.93715113,7.4788298,-2.3365049,0.0910150723788167,0.737723872624665,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",73,-2.1724464,1.0474333,6.7901449,-2.4547747,0.0855618920658214,0.590587478186772,0.701149425287356,NA,NA
"ni_n87",87,FALSE,"exact",74,-2.2914939,1.0707926,6.7253065,-2.4590955,0.0901103680648635,0.672963853236405,0.781609195402299,NA,NA
"ni_n87",87,FALSE,"exact",75,-2.3588703,1.0715474,6.62202,-2.482518,0.0665255449838842,0.629101920166161,0.758620689655172,NA,NA
"ni_n87",87,FALSE,"exact",76,-2.2197056,1.1562402,6.6876965,-2.464626,0.0901993266173909,0.669169776449138,0.804597701149425,NA,NA
"ni_n87",87,FALSE,"exact",77,-2.0245968,1.1075894,7.4607535,-2.5562687,0.0780357348876481,0.705544130648677,0.862068965517241,NA,NA
"ni_n87",87,FALSE,"exact",78,-2.1407333,1.1333637,6.2472258,-2.3854909,0.0764900095926384,0.678967302268742,0.816091954022989,NA,NA
